Name,Defense,HP,MP,Magic,Magic Defense,Power,Speed,Stamina,Accuracy,Effect,Character,Crono,Frog,Robo,Magus,Marle,Lucca,Ayla
Hide Cap,3,,,,,,,,,,All,1,1,1,1,1,1,1
Bronze Helm,8,,,,,,,,,,All,1,1,1,1,1,1,1
Iron Helm,14,,,,,,,,,,All,1,1,1,1,1,1,1
Porrean Beret,17,,,,,,,,,,Females,0,0,0,0,1,1,1
Golden Helm,18,,,,,,,,,,Males,1,1,1,1,0,0,0
Stone Helm,20,,,,,,,,,,All,1,1,1,1,1,1,1
Triceratopper,23,,,,,,,,,,All,1,1,1,1,1,1,1
Taban's Helm,24,,,,10,,,,,Magic Defense +10,Lucca,0,0,0,0,0,1,0
Radiant Helm,25,,,,,,,,,,Males,1,1,1,1,0,0,0
Platinum Helm,29,,,,,,,,,,All,1,1,1,1,1,1,1
Doom Helm,29,,,,,,,,,,Magus,0,0,0,1,0,0,0
Clarity Cap,30,,,,,,,,,Prevents Confuse,All,1,1,1,1,1,1,1
Memory Cap,30,,,,,,,,,Prevents Lock,All,1,1,1,1,1,1,1
Time Hat,30,,,,,,,,,Prevents Stop and Slow,All,1,1,1,1,1,1,1
Aeonian Helm,33,,,,,,,,,,All,1,1,1,1,1,1,1
Dark Helm,35,,,,,,,,,Halves Shadow,All,1,1,1,1,1,1,1
Haste Helm,35,,,,,,,,,Auto-Haste,All,1,1,1,1,1,1,1
Rainbow Helm,35,,,,,,,,,Halves Light,All,1,1,1,1,1,1,1
Mermaid Helm,35,,,,,,,,,Halves Water,All,1,1,1,1,1,1,1
Vigilant's Hat,36,,,,,,,,,Status Immunity,All,1,1,1,1,1,1,1
Guardian Helm,38,,,,,,,,,Auto-Protect,All,1,1,1,1,1,1,1
Prismatic Helm,40,,,,9,,,,,"Magic Defense +9, Status Immunity",All,1,1,1,1,1,1,1
Gloom Helm,42,,,,,,,,,Status Immunity,Magus,0,0,0,1,0,0,0
Ozzie Pants,45,,,,,,,,,???,All,1,1,1,1,1,1,1
Dragonhead,36,,,,,5,,,,Strength +5,Males,1,1,1,1,0,0,0
Reptite Tiara,35,,,5,,,,,,Magic +5,Females,0,0,0,0,1,1,1
Master's Crown,40,,,,,,,,,"25% Damage boost, Status immunity",Males,1,1,1,1,0,0,0
Angel's Tiara,36,,,,,,,,,"Auto-Haste, Status Immunity",Females,0,0,0,0,1,1,1
