Level,HP,MP,Evasion,Hit,Magic,Magic Defense,Power,Stamina
1,130,6,7,7,3,1,7,10
2,140,8,7,7,3,2,8,11
3,150,10,7,7,4,3,10,13
4,160,12,7,8,4,4,11,15
5,170,14,8,8,5,6,13,17
6,180,16,8,9,5,7,15,18
7,190,18,8,9,6,8,16,20
8,205,20,9,9,6,10,18,22
9,220,22,9,10,7,11,19,24
10,235,24,8,9,7,12,21,26
11,250,26,10,11,8,14,23,27
12,265,28,10,11,8,15,24,29
13,280,30,10,12,9,16,26,31
14,295,32,10,12,9,17,27,33
15,310,34,10,12,10,17,29,33
16,325,36,11,13,10,20,31,36
17,345,38,11,13,11,21,32,38
18,365,40,12,14,11,23,34,40
19,385,42,12,14,12,24,35,42
20,405,44,12,14,12,25,37,43
21,425,46,13,15,13,27,39,45
22,445,48,13,15,13,28,40,47
23,465,50,13,16,14,29,42,49
24,485,52,13,16,14,30,43,50
25,505,54,14,17,15,32,45,52
26,525,56,14,17,16,33,47,54
27,545,58,14,17,16,34,48,56
28,565,60,15,18,17,36,50,58
29,585,61,15,18,17,37,51,59
30,605,62,15,19,18,38,53,61
31,625,63,16,19,18,40,55,63
32,645,64,16,20,19,41,56,65
33,665,65,16,20,19,42,58,66
34,685,66,16,20,20,43,59,68
35,705,67,17,21,20,45,61,70
36,725,68,17,21,21,46,63,72
37,745,69,17,22,21,47,64,74
38,765,70,18,22,22,49,66,75
39,785,71,18,22,22,50,67,77
40,805,72,18,23,23,51,69,79
41,825,73,19,23,23,53,71,81
42,845,74,19,24,24,54,72,82
43,865,75,19,24,24,55,74,84
44,885,76,19,25,25,56,75,86
45,905,77,20,25,25,58,77,88
46,925,78,20,25,26,59,79,90
47,945,79,20,26,26,60,80,91
48,965,80,21,26,27,62,82,93
49,985,81,21,27,27,63,83,95
50,999,82,21,27,28,64,85,97
51,999,83,22,28,29,66,87,99
52,999,84,22,28,29,67,88,99
53,999,85,22,28,30,68,90,99
54,999,86,22,29,30,69,91,99
55,999,87,23,29,31,71,93,99
56,999,88,23,30,31,72,95,99
57,999,89,23,30,32,73,96,99
58,999,90,24,30,32,75,98,99
59,999,91,24,31,33,76,99,99
60,999,92,24,31,33,77,99,99
61,999,93,25,32,34,79,99,99
62,999,94,25,32,34,80,99,99
63,999,95,25,33,35,81,99,99
64,999,96,25,33,35,82,99,99
65,999,97,26,33,36,84,99,99
66,999,98,26,34,36,85,99,99
67,999,99,26,34,37,86,99,99
68,999,99,27,35,37,88,99,99
69,999,99,27,35,38,89,99,99
70,999,99,27,35,38,90,99,99
71,999,99,28,36,39,92,99,99
72,999,99,28,36,39,93,99,99
73,999,99,28,37,40,94,99,99
74,999,99,28,37,40,95,99,99
75,999,99,29,38,41,97,99,99
76,999,99,29,38,42,98,99,99
77,999,99,29,38,42,99,99,99
78,999,99,30,39,43,99,99,99
79,999,99,30,39,43,99,99,99
80,999,99,30,40,44,99,99,99
81,999,99,31,40,44,99,99,99
82,999,99,31,41,45,99,99,99
83,999,99,31,41,45,99,99,99
84,999,99,31,41,46,99,99,99
85,999,99,32,42,46,99,99,99
86,999,99,32,42,47,99,99,99
87,999,99,32,43,47,99,99,99
88,999,99,33,43,48,99,99,99
89,999,99,33,43,48,99,99,99
90,999,99,33,44,49,99,99,99
91,999,99,34,44,49,99,99,99
92,999,99,34,45,50,99,99,99
93,999,99,34,45,50,99,99,99
94,999,99,34,46,51,99,99,99
95,999,99,35,46,51,99,99,99
96,999,99,35,46,52,99,99,99
97,999,99,35,47,52,99,99,99
98,999,99,36,47,53,99,99,99
99,999,99,36,48,53,99,99,99
