Level,HP,MP,Evasion,Hit,Magic,Magic Defense,Power,Stamina
1,80,4,12,10,3,1,10,9
2,95,6,12,10,3,2,11,10
3,110,8,13,11,3,4,13,12
4,125,10,14,12,3,5,14,14
5,140,12,15,12,4,7,16,15
6,155,14,16,13,4,8,17,17
7,170,16,16,14,4,10,19,19
8,185,18,17,15,5,11,20,21
9,200,20,18,15,5,13,22,22
10,215,22,19,16,5,14,23,24
11,230,24,20,17,6,16,25,26
12,245,26,20,17,6,17,26,27
13,260,28,21,18,6,19,28,29
14,275,30,22,19,6,20,29,31
15,290,32,23,20,7,22,31,33
16,305,34,24,20,7,23,32,34
17,320,36,24,21,7,25,34,36
18,335,38,25,22,8,26,35,38
19,350,40,26,22,8,28,37,39
20,367,42,27,23,8,29,38,41
21,384,44,28,24,9,31,40,43
22,401,46,28,25,9,32,41,45
23,418,48,29,25,9,34,43,46
24,435,50,30,26,9,35,44,48
25,452,52,31,27,10,37,46,50
26,469,54,32,28,10,39,47,52
27,486,56,32,28,10,40,49,53
28,509,58,33,29,11,42,50,55
29,532,60,34,30,11,43,52,57
30,555,62,35,30,11,45,53,58
31,578,64,36,31,12,46,55,60
32,601,66,36,32,12,48,56,62
33,624,68,37,33,12,49,58,64
34,647,70,38,33,12,51,59,65
35,670,71,39,34,13,52,61,67
36,693,72,40,35,13,54,62,69
37,716,73,40,35,13,55,64,70
38,739,74,41,36,14,57,65,72
39,762,75,42,37,14,58,67,74
40,785,76,43,38,14,60,68,76
41,808,77,44,38,15,61,70,77
42,831,78,44,39,15,63,71,79
43,854,79,45,40,15,64,73,81
44,877,80,46,40,15,66,74,82
45,900,81,47,41,16,67,76,84
46,923,82,48,42,16,69,77,86
47,933,83,48,43,16,70,79,88
48,943,84,49,43,17,72,80,89
49,953,85,50,44,17,73,82,91
50,963,86,51,45,17,75,83,93
51,973,87,52,46,18,77,85,95
52,983,88,52,46,18,78,86,96
53,993,89,53,47,18,80,88,98
54,999,90,54,48,18,81,89,99
55,999,91,55,48,19,83,91,99
56,999,92,56,49,19,84,92,99
57,999,93,56,50,19,86,94,99
58,999,94,57,51,20,87,95,99
59,999,95,58,51,20,89,97,99
60,999,96,59,52,20,90,98,99
61,999,97,60,53,21,92,99,99
62,999,98,60,53,21,93,99,99
63,999,99,61,54,21,95,99,99
64,999,99,62,55,21,96,99,99
65,999,99,63,56,22,98,99,99
66,999,99,64,56,22,99,99,99
67,999,99,64,57,22,99,99,99
68,999,99,65,58,23,99,99,99
69,999,99,66,58,23,99,99,99
70,999,99,67,59,23,99,99,99
71,999,99,68,60,24,99,99,99
72,999,99,68,61,24,99,99,99
73,999,99,69,61,24,99,99,99
74,999,99,70,62,24,99,99,99
75,999,99,71,63,25,99,99,99
76,999,99,72,64,25,99,99,99
77,999,99,72,64,25,99,99,99
78,999,99,73,65,26,99,99,99
79,999,99,74,66,26,99,99,99
80,999,99,75,66,26,99,99,99
81,999,99,76,67,27,99,99,99
82,999,99,76,68,27,99,99,99
83,999,99,77,69,27,99,99,99
84,999,99,78,69,27,99,99,99
85,999,99,79,70,28,99,99,99
86,999,99,80,71,28,99,99,99
87,999,99,80,71,28,99,99,99
88,999,99,81,72,29,99,99,99
89,999,99,82,73,29,99,99,99
90,999,99,83,74,29,99,99,99
91,999,99,84,74,30,99,99,99
92,999,99,84,75,30,99,99,99
93,999,99,85,76,30,99,99,99
94,999,99,86,76,30,99,99,99
95,999,99,87,77,31,99,99,99
96,999,99,88,78,31,99,99,99
97,999,99,88,79,31,99,99,99
98,999,99,89,79,32,99,99,99
99,999,99,90,80,32,99,99,99
