Level,HP,MP,Evasion,Hit,Magic,Magic Defense,Power,Stamina
1,65,12,6,8,8,8,2,6
2,76,14,6,8,8,9,2,6
3,87,16,6,8,9,11,2,7
4,98,18,7,8,10,13,2,8
5,109,20,7,9,11,14,3,8
6,120,22,7,9,12,16,3,9
7,131,24,8,9,13,18,3,10
8,142,26,8,10,14,20,4,10
9,153,28,8,10,15,21,4,11
10,164,30,8,10,15,21,4,11
11,175,32,9,11,17,25,5,13
12,186,34,9,11,17,26,5,13
13,200,36,10,11,18,28,5,14
14,214,38,10,11,19,30,5,15
15,228,40,11,12,20,32,6,15
16,242,42,11,12,21,33,6,16
17,256,44,11,12,22,35,6,17
18,270,46,12,13,23,37,7,17
19,284,48,12,13,24,38,7,18
20,298,50,12,13,25,40,7,19
21,312,52,13,14,26,42,8,20
22,326,54,13,14,26,44,8,20
23,340,56,13,14,27,45,8,21
24,358,58,14,14,28,47,8,22
25,376,60,14,15,29,49,9,22
26,394,62,15,15,30,51,9,23
27,412,64,15,15,31,52,9,24
28,430,66,15,16,32,54,10,24
29,448,68,16,16,33,56,10,25
30,466,70,16,16,34,57,10,26
31,484,72,16,17,35,59,11,27
32,502,74,17,17,35,61,11,27
33,520,76,17,17,36,63,11,28
34,538,77,17,17,37,64,11,29
35,556,78,18,18,38,66,12,29
36,574,79,18,18,39,68,12,30
37,592,80,18,18,40,69,12,31
38,610,81,19,19,41,71,13,31
39,628,82,19,19,42,73,13,32
40,646,83,20,19,43,75,13,33
41,664,84,20,20,44,76,14,34
42,682,85,20,20,44,78,14,34
43,700,86,21,20,45,80,14,35
44,718,87,21,20,46,81,14,36
45,736,88,21,21,47,83,15,36
46,754,89,22,21,48,85,15,37
47,772,90,22,21,49,87,15,38
48,790,91,22,22,50,88,16,38
49,808,92,23,22,51,90,16,39
50,826,93,23,22,52,92,16,40
51,844,94,24,23,53,94,17,41
52,862,95,24,23,53,95,17,41
53,880,96,24,23,54,97,17,42
54,898,97,25,23,55,99,17,43
55,916,98,25,24,56,99,18,43
56,934,99,25,24,57,99,18,44
57,952,99,26,24,58,99,18,45
58,970,99,26,25,59,99,19,45
59,988,99,26,25,60,99,19,46
60,999,99,27,25,61,99,19,47
61,999,99,27,26,62,99,20,48
62,999,99,27,26,62,99,20,48
63,999,99,28,26,63,99,20,49
64,999,99,28,26,64,99,20,50
65,999,99,29,27,65,99,21,50
66,999,99,29,27,66,99,21,51
67,999,99,29,27,67,99,21,52
68,999,99,30,28,68,99,22,52
69,999,99,30,28,69,99,22,53
70,999,99,30,28,70,99,22,54
71,999,99,31,29,71,99,23,55
72,999,99,31,29,71,99,23,55
73,999,99,31,29,72,99,23,56
74,999,99,32,29,73,99,23,57
75,999,99,32,30,74,99,24,57
76,999,99,33,30,75,99,24,58
77,999,99,33,30,76,99,24,59
78,999,99,33,31,77,99,25,59
79,999,99,34,31,78,99,25,60
80,999,99,34,31,79,99,25,61
81,999,99,34,32,80,99,26,62
82,999,99,35,32,80,99,26,62
83,999,99,35,32,81,99,26,63
84,999,99,35,32,82,99,26,64
85,999,99,36,33,83,99,27,64
86,999,99,36,33,84,99,27,65
87,999,99,36,33,85,99,27,66
88,999,99,37,34,86,99,28,66
89,999,99,37,34,87,99,28,67
90,999,99,38,34,88,99,28,68
91,999,99,38,35,89,99,29,69
92,999,99,38,35,89,99,29,69
93,999,99,39,35,90,99,29,70
94,999,99,39,35,91,99,29,71
95,999,99,39,36,92,99,30,71
96,999,99,40,36,93,99,30,72
97,999,99,40,36,94,99,30,73
98,999,99,40,37,95,99,31,73
99,999,99,41,37,96,99,31,74
